char	hex	count	char name	dict #	dict #	dict #	dict #	dict #
ň	\u0148	2	LATIN SMALL LETTER N WITH CARON	gra   2				
Ō	\u014c	2	LATIN CAPITAL LETTER O WITH MACRON	bop   1	lan   1			
ō	\u014d	192	LATIN SMALL LETTER O WITH MACRON	acc   2	ben   5	bhs   23	ieg   1	lan   89
				mci   6	mw    25	mw72  39	pgn   1	vei   1
ŏ	\u014f	49	LATIN SMALL LETTER O WITH BREVE	ben   3	bhs   1	ieg   33	lan   6	mw    1
				mw72  5				
Œ	\u0152	42	LATIN CAPITAL LIGATURE OE	bor   4	bur   11	mw72  1	mwe   23	shs   3
œ	\u0153	1438	LATIN SMALL LIGATURE OE	ae    6	ap90  63	ben   27	bhs   1	bop   16
				bor   2	bur   630	gst   19	inm   13	lan   10
				mci   1	mw72  361	mwe   4	shs   214	vei   14
				wil   55	yat   2			
Ś	\u015a	200284	LATIN CAPITAL LETTER S WITH ACUTE	acc   7640	ae    4	ap90  7675	ben   2495	bhs   3045
				bor   104	bur   491	cae   357	ccs   179	gra   20
				gst   717	ieg   372	inm   9055	lan   31	mci   2224
				md    820	mw    26576	mw72  7978	mwe   48	pe    12545
				pgn   403	pui   4106	pw    12185	pwg   90721	sch   3768
				shs   717	snp   31	stc   1254	vei   3337	wil   1386
ś	\u015b	182981	LATIN SMALL LETTER S WITH ACUTE	acc   15074	ap90  1092	ben   7361	bhs   12641	bop   1
				bor   52	bur   8001	cae   90	ccs   69	gra   11824
				gst   866	ieg   2202	inm   15658	lan   1585	mci   12142
				md    6310	mw    19034	mw72  25866	mwe   27	pe    11430
				pgn   505	pui   6207	pw    1643	pwg   4223	sch   7217
				shs   121	snp   934	stc   6758	vei   3736	wil   312
Ş	\u015e	11	LATIN CAPITAL LETTER S WITH CEDILLA	ieg   11				
ş	\u015f	3	LATIN SMALL LETTER S WITH CEDILLA	ieg   3				
Š	\u0160	1	LATIN CAPITAL LETTER S WITH CARON	vei   1				
š	\u0161	10	LATIN SMALL LETTER S WITH CARON	bhs   1	bop   2	lan   1	mw    6	
