¦  (\u00a6) 55390 := BROKEN BAR
ج  (\u062c)     3 := ARABIC LETTER JEEM
ح  (\u062d)     4 := ARABIC LETTER HAH
خ  (\u062e)     4 := ARABIC LETTER KHAH
د  (\u062f)    16 := ARABIC LETTER DAL
ذ  (\u0630)     1 := ARABIC LETTER THAL
ر  (\u0631)    23 := ARABIC LETTER REH
ز  (\u0632)     5 := ARABIC LETTER ZAIN
س  (\u0633)     5 := ARABIC LETTER SEEN
ش  (\u0634)    10 := ARABIC LETTER SHEEN
ص  (\u0635)     3 := ARABIC LETTER SAD
ع  (\u0639)     4 := ARABIC LETTER AIN
غ  (\u063a)     2 := ARABIC LETTER GHAIN
ف  (\u0641)     4 := ARABIC LETTER FEH
ق  (\u0642)     7 := ARABIC LETTER QAF
ك  (\u0643)     4 := ARABIC LETTER KAF
ل  (\u0644)    18 := ARABIC LETTER LAM
م  (\u0645)    21 := ARABIC LETTER MEEM
ن  (\u0646)    17 := ARABIC LETTER NOON
ه  (\u0647)    19 := ARABIC LETTER HEH
و  (\u0648)    21 := ARABIC LETTER WAW
ى  (\u0649)     4 := ARABIC LETTER ALEF MAKSURA
ي  (\u064a)    16 := ARABIC LETTER YEH
ُ  (\u064f)     1 := ARABIC DAMMA
ِ  (\u0650)     5 := ARABIC KASRA
ّ  (\u0651)     2 := ARABIC SHADDA
ْ  (\u0652)     4 := ARABIC SUKUN
پ  (\u067e)     7 := ARABIC LETTER PEH
ٿ  (\u067f)     1 := ARABIC LETTER TEHEH
چ  (\u0686)     1 := ARABIC LETTER TCHEH
گ  (\u06af)     2 := ARABIC LETTER GAF
Ḍ  (\u1e0c)    37 := LATIN CAPITAL LETTER D WITH DOT BELOW
ḍ  (\u1e0d)  8202 := LATIN SMALL LETTER D WITH DOT BELOW
ḥ  (\u1e25)  2524 := LATIN SMALL LETTER H WITH DOT BELOW
ḳ  (\u1e33)     4 := LATIN SMALL LETTER K WITH DOT BELOW
ḷ  (\u1e37)   197 := LATIN SMALL LETTER L WITH DOT BELOW
ḹ  (\u1e39)     8 := LATIN SMALL LETTER L WITH DOT BELOW AND MACRON
