¦  (\u00a6)  8961 := BROKEN BAR
Ἥ  (\u1f2d)     1 := GREEK CAPITAL LETTER ETA WITH DASIA AND OXIA
ἰ  (\u1f30)    25 := GREEK SMALL LETTER IOTA WITH PSILI
ἱ  (\u1f31)     5 := GREEK SMALL LETTER IOTA WITH DASIA
ἴ  (\u1f34)    20 := GREEK SMALL LETTER IOTA WITH PSILI AND OXIA
ἵ  (\u1f35)    15 := GREEK SMALL LETTER IOTA WITH DASIA AND OXIA
ἶ  (\u1f36)    17 := GREEK SMALL LETTER IOTA WITH PSILI AND PERISPOMENI
Ἰ  (\u1f38)     1 := GREEK CAPITAL LETTER IOTA WITH PSILI
ὀ  (\u1f40)    33 := GREEK SMALL LETTER OMICRON WITH PSILI
ὁ  (\u1f41)     3 := GREEK SMALL LETTER OMICRON WITH DASIA
ὄ  (\u1f44)    20 := GREEK SMALL LETTER OMICRON WITH PSILI AND OXIA
ὅ  (\u1f45)    10 := GREEK SMALL LETTER OMICRON WITH DASIA AND OXIA
Ὀ  (\u1f48)     3 := GREEK CAPITAL LETTER OMICRON WITH PSILI
Ὄ  (\u1f4c)     3 := GREEK CAPITAL LETTER OMICRON WITH PSILI AND OXIA
ὐ  (\u1f50)    11 := GREEK SMALL LETTER UPSILON WITH PSILI
ὑ  (\u1f51)    14 := GREEK SMALL LETTER UPSILON WITH DASIA
ὔ  (\u1f54)     9 := GREEK SMALL LETTER UPSILON WITH PSILI AND OXIA
ὕ  (\u1f55)    10 := GREEK SMALL LETTER UPSILON WITH DASIA AND OXIA
ὖ  (\u1f56)    15 := GREEK SMALL LETTER UPSILON WITH PSILI AND PERISPOMENI
ὗ  (\u1f57)     5 := GREEK SMALL LETTER UPSILON WITH DASIA AND PERISPOMENI
ὠ  (\u1f60)     4 := GREEK SMALL LETTER OMEGA WITH PSILI
ὤ  (\u1f64)     1 := GREEK SMALL LETTER OMEGA WITH PSILI AND OXIA
ὥ  (\u1f65)     1 := GREEK SMALL LETTER OMEGA WITH DASIA AND OXIA
ά  (\u1f71)   188 := GREEK SMALL LETTER ALPHA WITH OXIA
έ  (\u1f73)   236 := GREEK SMALL LETTER EPSILON WITH OXIA
ὴ  (\u1f74)     1 := GREEK SMALL LETTER ETA WITH VARIA
ή  (\u1f75)    76 := GREEK SMALL LETTER ETA WITH OXIA
ί  (\u1f77)   220 := GREEK SMALL LETTER IOTA WITH OXIA
ὸ  (\u1f78)     4 := GREEK SMALL LETTER OMICRON WITH VARIA
ό  (\u1f79)   198 := GREEK SMALL LETTER OMICRON WITH OXIA
ύ  (\u1f7b)   141 := GREEK SMALL LETTER UPSILON WITH OXIA
ώ  (\u1f7d)    34 := GREEK SMALL LETTER OMEGA WITH OXIA
ᾱ  (\u1fb1)     7 := GREEK SMALL LETTER ALPHA WITH MACRON
ᾶ  (\u1fb6)     4 := GREEK SMALL LETTER ALPHA WITH PERISPOMENI
Ᾱ  (\u1fb9)     2 := GREEK CAPITAL LETTER ALPHA WITH MACRON
ῆ  (\u1fc6)    34 := GREEK SMALL LETTER ETA WITH PERISPOMENI
ῇ  (\u1fc7)     1 := GREEK SMALL LETTER ETA WITH PERISPOMENI AND YPOGEGRAMMENI
ῑ  (\u1fd1)    11 := GREEK SMALL LETTER IOTA WITH MACRON
ΐ  (\u1fd3)    14 := GREEK SMALL LETTER IOTA WITH DIALYTIKA AND OXIA
ῖ  (\u1fd6)    29 := GREEK SMALL LETTER IOTA WITH PERISPOMENI
ῡ  (\u1fe1)     9 := GREEK SMALL LETTER UPSILON WITH MACRON
ΰ  (\u1fe3)     1 := GREEK SMALL LETTER UPSILON WITH DIALYTIKA AND OXIA
ῦ  (\u1fe6)    91 := GREEK SMALL LETTER UPSILON WITH PERISPOMENI
ῶ  (\u1ff6)    17 := GREEK SMALL LETTER OMEGA WITH PERISPOMENI
ῷ  (\u1ff7)     1 := GREEK SMALL LETTER OMEGA WITH PERISPOMENI AND YPOGEGRAMMENI
—  (\u2014)   877 := EM DASH
”  (\u201d)    12 := RIGHT DOUBLE QUOTATION MARK
„  (\u201e)    12 := DOUBLE LOW-9 QUOTATION MARK
…  (\u2026)   756 := HORIZONTAL ELLIPSIS
