¦  (\u00a6) 280833 := BROKEN BAR
᾽  (\u1fbd)     3 := GREEK KORONIS
᾿  (\u1fbf)     6 := GREEK PSILI
ῆ  (\u1fc6)    13 := GREEK SMALL LETTER ETA WITH PERISPOMENI
῎  (\u1fce)     1 := GREEK PSILI AND OXIA
ῖ  (\u1fd6)    26 := GREEK SMALL LETTER IOTA WITH PERISPOMENI
῞  (\u1fde)     1 := GREEK DASIA AND OXIA
ῦ  (\u1fe6)    17 := GREEK SMALL LETTER UPSILON WITH PERISPOMENI
ῶ  (\u1ff6)    10 := GREEK SMALL LETTER OMEGA WITH PERISPOMENI
῾  (\u1ffe)    10 := GREEK DASIA
—  (\u2014) 262599 := EM DASH
‘  (\u2018) 20722 := LEFT SINGLE QUOTATION MARK
’  (\u2019) 20721 := RIGHT SINGLE QUOTATION MARK
√  (\u221a) 15610 := SQUARE ROOT
